LU0000090123456708002MT0000000000;1.9.1;;;;LU0000090123456708002MT0000000000;3.29.0;;;;LU0000090752630500119MT0000000000;1.9.1;;;;LU0000090752630500119MT0000000000;3.29.0;;;
begin;end;code;value;unit;begin;end;code;value;unit;begin;end;code;value;unit;begin;end;code;value;unit
03.08.2016 21:45;04.08.2016 12:45;220;10.138;KWH;03.08.2016 21:45;04.08.2016 12:45;220;4.463;KAH;03.08.2016 21:45;04.08.2016 12:45;220;0.521;KWH;03.08.2016 21:45;04.08.2016 12:45;220;0.000;KAH
03.08.2016 22:00;04.08.2016 13:00;220;8.149;KWH;03.08.2016 22:00;04.08.2016 13:00;220;3.875;KAH;03.08.2016 22:00;04.08.2016 13:00;220;0.532;KWH;03.08.2016 22:00;04.08.2016 13:00;220;0.000;KAH
03.08.2016 22:15;04.08.2016 13:15;220;7.902;KWH;03.08.2016 22:15;04.08.2016 13:15;220;3.350;KAH;03.08.2016 22:15;04.08.2016 13:15;220;0.521;KWH;03.08.2016 22:15;04.08.2016 13:15;220;0.000;KAH
03.08.2016 22:30;04.08.2016 13:30;220;6.238;KWH;03.08.2016 22:30;04.08.2016 13:30;220;2.538;KAH;03.08.2016 22:30;04.08.2016 13:30;220;0.511;KWH;03.08.2016 22:30;04.08.2016 13:30;220;0.000;KAH
03.08.2016 22:45;04.08.2016 13:45;220;5.211;KWH;03.08.2016 22:45;04.08.2016 13:45;220;2.913;KAH;03.08.2016 22:45;04.08.2016 13:45;220;0.521;KWH;03.08.2016 22:45;04.08.2016 13:45;220;0.000;KAH
03.08.2016 23:00;04.08.2016 14:00;220;4.314;KWH;03.08.2016 23:00;04.08.2016 14:00;220;2.388;KAH;03.08.2016 23:00;04.08.2016 14:00;220;0.511;KWH;03.08.2016 23:00;04.08.2016 14:00;220;0.000;KAH
03.08.2016 23:15;04.08.2016 14:15;220;4.743;KWH;03.08.2016 23:15;04.08.2016 14:15;220;2.638;KAH;03.08.2016 23:15;04.08.2016 14:15;220;0.511;KWH;03.08.2016 23:15;04.08.2016 14:15;220;0.000;KAH
03.08.2016 23:30;04.08.2016 14:30;220;4.535;KWH;03.08.2016 23:30;04.08.2016 14:30;220;2.588;KAH;03.08.2016 23:30;04.08.2016 14:30;220;0.511;KWH;03.08.2016 23:30;04.08.2016 14:30;220;0.000;KAH
04.08.2016 00:00;04.08.2016 15:00;220;4.054;KWH;04.08.2016 00:00;04.08.2016 15:00;220;2.188;KAH;04.08.2016 00:00;04.08.2016 15:00;220;0.511;KWH;04.08.2016 00:00;04.08.2016 15:00;220;0.000;KAH
04.08.2016 00:15;04.08.2016 15:15;220;4.990;KWH;04.08.2016 00:15;04.08.2016 15:15;220;2.825;KAH;04.08.2016 00:15;04.08.2016 15:15;220;0.511;KWH;04.08.2016 00:15;04.08.2016 15:15;220;0.000;KAH
04.08.2016 00:30;04.08.2016 15:30;220;4.184;KWH;04.08.2016 00:30;04.08.2016 15:30;220;2.438;KAH;04.08.2016 00:30;04.08.2016 15:30;220;0.511;KWH;04.08.2016 00:30;04.08.2016 15:30;220;0.000;KAH
04.08.2016 00:45;04.08.2016 15:45;220;5.250;KWH;04.08.2016 00:45;04.08.2016 15:45;220;3.088;KAH;04.08.2016 00:45;04.08.2016 15:45;220;0.511;KWH;04.08.2016 00:45;04.08.2016 15:45;220;0.000;KAH
04.08.2016 01:00;04.08.2016 16:00;220;4.080;KWH;04.08.2016 01:00;04.08.2016 16:00;220;2.200;KAH;04.08.2016 01:00;04.08.2016 16:00;220;0.511;KWH;04.08.2016 01:00;04.08.2016 16:00;220;0.000;KAH
04.08.2016 01:15;04.08.2016 16:15;220;4.561;KWH;04.08.2016 01:15;04.08.2016 16:15;220;2.613;KAH;04.08.2016 01:15;04.08.2016 16:15;220;0.511;KWH;04.08.2016 01:15;04.08.2016 16:15;220;0.000;KAH
04.08.2016 01:30;04.08.2016 16:30;220;4.392;KWH;04.08.2016 01:30;04.08.2016 16:30;220;2.463;KAH;04.08.2016 01:30;04.08.2016 16:30;220;0.521;KWH;04.08.2016 01:30;04.08.2016 16:30;220;0.000;KAH
04.08.2016 01:45;04.08.2016 16:45;220;4.106;KWH;04.08.2016 01:45;04.08.2016 16:45;220;2.275;KAH;04.08.2016 01:45;04.08.2016 16:45;220;0.511;KWH;04.08.2016 01:45;04.08.2016 16:45;220;0.000;KAH
04.08.2016 02:00;04.08.2016 17:00;220;4.899;KWH;04.08.2016 02:00;04.08.2016 17:00;220;2.875;KAH;04.08.2016 02:00;04.08.2016 17:00;220;0.511;KWH;04.08.2016 02:00;04.08.2016 17:00;220;0.000;KAH
04.08.2016 02:15;04.08.2016 17:15;220;4.145;KWH;04.08.2016 02:15;04.08.2016 17:15;220;2.350;KAH;04.08.2016 02:15;04.08.2016 17:15;220;0.511;KWH;04.08.2016 02:15;04.08.2016 17:15;220;0.000;KAH
04.08.2016 02:30;04.08.2016 17:30;220;4.704;KWH;04.08.2016 02:30;04.08.2016 17:30;220;2.788;KAH;04.08.2016 02:30;04.08.2016 17:30;220;0.511;KWH;04.08.2016 02:30;04.08.2016 17:30;220;0.000;KAH
04.08.2016 02:45;04.08.2016 17:45;220;4.470;KWH;04.08.2016 02:45;04.08.2016 17:45;220;2.575;KAH;04.08.2016 02:45;04.08.2016 17:45;220;0.511;KWH;04.08.2016 02:45;04.08.2016 17:45;220;0.000;KAH
04.08.2016 03:00;04.08.2016 18:00;220;4.093;KWH;04.08.2016 03:00;04.08.2016 18:00;220;2.275;KAH;04.08.2016 03:00;04.08.2016 18:00;220;0.511;KWH;04.08.2016 03:00;04.08.2016 18:00;220;0.000;KAH
04.08.2016 03:15;04.08.2016 18:15;220;4.834;KWH;04.08.2016 03:15;04.08.2016 18:15;220;2.763;KAH;04.08.2016 03:15;04.08.2016 18:15;220;0.521;KWH;04.08.2016 03:15;04.08.2016 18:15;220;0.000;KAH
04.08.2016 03:30;04.08.2016 18:30;220;4.171;KWH;04.08.2016 03:30;04.08.2016 18:30;220;2.425;KAH;04.08.2016 03:30;04.08.2016 18:30;220;0.511;KWH;04.08.2016 03:30;04.08.2016 18:30;220;0.000;KAH
04.08.2016 03:45;04.08.2016 18:45;220;4.379;KWH;04.08.2016 03:45;04.08.2016 18:45;220;2.550;KAH;04.08.2016 03:45;04.08.2016 18:45;220;0.511;KWH;04.08.2016 03:45;04.08.2016 18:45;220;0.000;KAH
04.08.2016 04:00;04.08.2016 19:00;220;4.756;KWH;04.08.2016 04:00;04.08.2016 19:00;220;2.738;KAH;04.08.2016 04:00;04.08.2016 19:00;220;0.511;KWH;04.08.2016 04:00;04.08.2016 19:00;220;0.000;KAH
04.08.2016 04:15;04.08.2016 19:15;220;4.184;KWH;04.08.2016 04:15;04.08.2016 19:15;220;2.338;KAH;04.08.2016 04:15;04.08.2016 19:15;220;0.501;KWH;04.08.2016 04:15;04.08.2016 19:15;220;0.000;KAH
04.08.2016 04:30;04.08.2016 19:30;220;4.288;KWH;04.08.2016 04:30;04.08.2016 19:30;220;2.488;KAH;04.08.2016 04:30;04.08.2016 19:30;220;0.511;KWH;04.08.2016 04:30;04.08.2016 19:30;220;0.000;KAH
04.08.2016 04:45;04.08.2016 19:45;220;4.730;KWH;04.08.2016 04:45;04.08.2016 19:45;220;2.688;KAH;04.08.2016 04:45;04.08.2016 19:45;220;0.521;KWH;04.08.2016 04:45;04.08.2016 19:45;220;0.000;KAH
04.08.2016 05:00;04.08.2016 20:00;220;4.171;KWH;04.08.2016 05:00;04.08.2016 20:00;220;2.338;KAH;04.08.2016 05:00;04.08.2016 20:00;220;0.511;KWH;04.08.2016 05:00;04.08.2016 20:00;220;0.000;KAH
04.08.2016 05:15;04.08.2016 20:15;220;4.171;KWH;04.08.2016 05:15;04.08.2016 20:15;220;2.350;KAH;04.08.2016 05:15;04.08.2016 20:15;220;0.511;KWH;04.08.2016 05:15;04.08.2016 20:15;220;0.000;KAH
04.08.2016 05:30;04.08.2016 20:30;220;4.769;KWH;04.08.2016 05:30;04.08.2016 20:30;220;2.600;KAH;04.08.2016 05:30;04.08.2016 20:30;220;0.511;KWH;04.08.2016 05:30;04.08.2016 20:30;220;0.000;KAH
04.08.2016 05:45;04.08.2016 20:45;220;4.275;KWH;04.08.2016 05:45;04.08.2016 20:45;220;2.513;KAH;04.08.2016 05:45;04.08.2016 20:45;220;0.501;KWH;04.08.2016 05:45;04.08.2016 20:45;220;0.000;KAH
04.08.2016 06:00;04.08.2016 21:00;220;4.223;KWH;04.08.2016 06:00;04.08.2016 21:00;220;2.438;KAH;04.08.2016 06:00;04.08.2016 21:00;220;0.511;KWH;04.08.2016 06:00;04.08.2016 21:00;220;0.000;KAH
04.08.2016 06:15;04.08.2016 21:15;220;4.860;KWH;04.08.2016 06:15;04.08.2016 21:15;220;2.788;KAH;04.08.2016 06:15;04.08.2016 21:15;220;0.511;KWH;04.08.2016 06:15;04.08.2016 21:15;220;0.000;KAH
04.08.2016 06:30;04.08.2016 21:30;220;3.976;KWH;04.08.2016 06:30;04.08.2016 21:30;220;2.175;KAH;04.08.2016 06:30;04.08.2016 21:30;220;0.511;KWH;04.08.2016 06:30;04.08.2016 21:30;220;0.000;KAH
04.08.2016 06:45;04.08.2016 21:45;220;4.067;KWH;04.08.2016 06:45;04.08.2016 21:45;220;2.225;KAH;04.08.2016 06:45;04.08.2016 21:45;220;0.511;KWH;04.08.2016 06:45;04.08.2016 21:45;220;0.000;KAH
04.08.2016 07:00;04.08.2016 22:00;220;4.743;KWH;04.08.2016 07:00;04.08.2016 22:00;220;2.600;KAH;04.08.2016 07:00;04.08.2016 22:00;220;0.511;KWH;04.08.2016 07:00;04.08.2016 22:00;220;0.000;KAH
04.08.2016 07:15;04.08.2016 22:15;220;3.924;KWH;04.08.2016 07:15;04.08.2016 22:15;220;2.075;KAH;04.08.2016 07:15;04.08.2016 22:15;220;0.501;KWH;04.08.2016 07:15;04.08.2016 22:15;220;0.000;KAH
04.08.2016 07:30;04.08.2016 22:30;220;4.548;KWH;04.08.2016 07:30;04.08.2016 22:30;220;3.088;KAH;04.08.2016 07:30;04.08.2016 22:30;220;1.457;KWH;04.08.2016 07:30;04.08.2016 22:30;220;0.000;KAH
04.08.2016 07:45;04.08.2016 22:45;220;6.134;KWH;04.08.2016 07:45;04.08.2016 22:45;220;3.988;KAH;04.08.2016 07:45;04.08.2016 22:45;220;1.853;KWH;04.08.2016 07:45;04.08.2016 22:45;220;0.000;KAH
04.08.2016 08:00;04.08.2016 23:00;220;6.355;KWH;04.08.2016 08:00;04.08.2016 23:00;220;3.400;KAH;04.08.2016 08:00;04.08.2016 23:00;220;2.685;KWH;04.08.2016 08:00;04.08.2016 23:00;220;0.000;KAH
04.08.2016 08:15;04.08.2016 23:15;220;7.954;KWH;04.08.2016 08:15;04.08.2016 23:15;220;3.525;KAH;04.08.2016 08:15;04.08.2016 23:15;220;8.207;KWH;04.08.2016 08:15;04.08.2016 23:15;220;0.000;KAH
04.08.2016 08:30;04.08.2016 23:30;220;10.060;KWH;04.08.2016 08:30;04.08.2016 23:30;220;3.925;KAH;04.08.2016 08:30;04.08.2016 23:30;220;8.165;KWH;04.08.2016 08:30;04.08.2016 23:30;220;0.000;KAH
04.08.2016 08:45;04.08.2016 23:45;220;8.279;KWH;04.08.2016 08:45;04.08.2016 23:45;220;3.438;KAH;04.08.2016 08:45;04.08.2016 23:45;220;8.061;KWH;04.08.2016 08:45;04.08.2016 23:45;220;0.000;KAH
04.08.2016 09:00;05.08.2016 00:00;220;8.721;KWH;04.08.2016 09:00;05.08.2016 00:00;220;3.663;KAH;04.08.2016 09:00;05.08.2016 00:00;220;8.061;KWH;04.08.2016 09:00;05.08.2016 00:00;220;0.000;KAH
04.08.2016 09:15;05.08.2016 00:15;220;6.914;KWH;04.08.2016 09:15;05.08.2016 00:15;220;3.625;KAH;04.08.2016 09:15;05.08.2016 00:15;220;8.041;KWH;04.08.2016 09:15;05.08.2016 00:15;220;0.000;KAH
04.08.2016 09:30;05.08.2016 00:30;220;7.499;KWH;04.08.2016 09:30;05.08.2016 00:30;220;3.625;KAH;04.08.2016 09:30;05.08.2016 00:30;220;8.020;KWH;04.08.2016 09:30;05.08.2016 00:30;220;0.000;KAH
04.08.2016 09:45;05.08.2016 00:45;220;9.163;KWH;04.08.2016 09:45;05.08.2016 00:45;220;3.838;KAH;04.08.2016 09:45;05.08.2016 00:45;220;8.030;KWH;04.08.2016 09:45;05.08.2016 00:45;220;0.000;KAH
04.08.2016 10:00;05.08.2016 01:00;220;10.021;KWH;04.08.2016 10:00;05.08.2016 01:00;220;3.663;KAH;04.08.2016 10:00;05.08.2016 01:00;220;8.093;KWH;04.08.2016 10:00;05.08.2016 01:00;220;0.000;KAH
04.08.2016 10:15;05.08.2016 01:15;220;9.709;KWH;04.08.2016 10:15;05.08.2016 01:15;220;3.738;KAH;04.08.2016 10:15;05.08.2016 01:15;220;8.165;KWH;04.08.2016 10:15;05.08.2016 01:15;220;0.000;KAH
04.08.2016 10:30;05.08.2016 01:30;220;10.827;KWH;04.08.2016 10:30;05.08.2016 01:30;220;4.313;KAH;04.08.2016 10:30;05.08.2016 01:30;220;8.134;KWH;04.08.2016 10:30;05.08.2016 01:30;220;0.000;KAH
04.08.2016 10:45;05.08.2016 01:45;220;8.422;KWH;04.08.2016 10:45;05.08.2016 01:45;220;3.838;KAH;04.08.2016 10:45;05.08.2016 01:45;220;8.020;KWH;04.08.2016 10:45;05.08.2016 01:45;220;0.000;KAH
04.08.2016 11:00;05.08.2016 02:00;220;10.866;KWH;04.08.2016 11:00;05.08.2016 02:00;220;4.463;KAH;04.08.2016 11:00;05.08.2016 02:00;220;8.030;KWH;04.08.2016 11:00;05.08.2016 02:00;220;0.000;KAH
04.08.2016 11:15;05.08.2016 02:15;220;10.619;KWH;04.08.2016 11:15;05.08.2016 02:15;220;3.888;KAH;04.08.2016 11:15;05.08.2016 02:15;220;8.072;KWH;04.08.2016 11:15;05.08.2016 02:15;220;0.000;KAH
04.08.2016 11:30;05.08.2016 02:30;220;10.827;KWH;04.08.2016 11:30;05.08.2016 02:30;220;4.275;KAH;04.08.2016 11:30;05.08.2016 02:30;220;8.041;KWH;04.08.2016 11:30;05.08.2016 02:30;220;0.000;KAH
04.08.2016 11:45;05.08.2016 02:45;220;11.490;KWH;04.08.2016 11:45;05.08.2016 02:45;220;4.550;KAH;04.08.2016 11:45;05.08.2016 02:45;220;8.061;KWH;04.08.2016 11:45;05.08.2016 02:45;220;0.000;KAH
04.08.2016 12:00;05.08.2016 03:00;220;10.294;KWH;04.08.2016 12:00;05.08.2016 03:00;220;4.125;KAH;04.08.2016 12:00;05.08.2016 03:00;220;8.061;KWH;04.08.2016 12:00;05.08.2016 03:00;220;0.000;KAH
04.08.2016 12:15;05.08.2016 03:15;220;11.958;KWH;04.08.2016 12:15;05.08.2016 03:15;220;4.800;KAH;04.08.2016 12:15;05.08.2016 03:15;220;8.051;KWH;04.08.2016 12:15;05.08.2016 03:15;220;0.000;KAH
04.08.2016 12:30;05.08.2016 03:30;220;11.412;KWH;04.08.2016 12:30;05.08.2016 03:30;220;4.225;KAH;04.08.2016 12:30;05.08.2016 03:30;220;8.072;KWH;04.08.2016 12:30;05.08.2016 03:30;220;0.000;KAH
04.08.2016 12:45;05.08.2016 03:45;220;12.686;KWH;04.08.2016 12:45;05.08.2016 03:45;220;4.988;KAH;04.08.2016 12:45;05.08.2016 03:45;220;8.061;KWH;04.08.2016 12:45;05.08.2016 03:45;220;0.000;KAH
04.08.2016 13:00;05.08.2016 04:00;220;10.827;KWH;04.08.2016 13:00;05.08.2016 04:00;220;4.225;KAH;04.08.2016 13:00;05.08.2016 04:00;220;8.061;KWH;04.08.2016 13:00;05.08.2016 04:00;220;0.000;KAH
04.08.2016 13:15;05.08.2016 04:15;220;11.412;KWH;04.08.2016 13:15;05.08.2016 04:15;220;4.700;KAH;04.08.2016 13:15;05.08.2016 04:15;220;8.082;KWH;04.08.2016 13:15;05.08.2016 04:15;220;0.000;KAH
04.08.2016 13:30;05.08.2016 04:30;220;10.281;KWH;04.08.2016 13:30;05.08.2016 04:30;220;3.913;KAH;04.08.2016 13:30;05.08.2016 04:30;220;8.072;KWH;04.08.2016 13:30;05.08.2016 04:30;220;0.000;KAH
04.08.2016 13:45;05.08.2016 04:45;220;10.775;KWH;04.08.2016 13:45;05.08.2016 04:45;220;4.713;KAH;04.08.2016 13:45;05.08.2016 04:45;220;8.051;KWH;04.08.2016 13:45;05.08.2016 04:45;220;0.000;KAH
04.08.2016 14:00;05.08.2016 05:00;220;9.865;KWH;04.08.2016 14:00;05.08.2016 05:00;220;4.188;KAH;04.08.2016 14:00;05.08.2016 05:00;220;8.051;KWH;04.08.2016 14:00;05.08.2016 05:00;220;0.000;KAH
04.08.2016 14:15;05.08.2016 05:15;220;9.826;KWH;04.08.2016 14:15;05.08.2016 05:15;220;4.350;KAH;04.08.2016 14:15;05.08.2016 05:15;220;8.061;KWH;04.08.2016 14:15;05.08.2016 05:15;220;0.000;KAH
04.08.2016 14:30;05.08.2016 05:30;220;8.747;KWH;04.08.2016 14:30;05.08.2016 05:30;220;4.338;KAH;04.08.2016 14:30;05.08.2016 05:30;220;8.051;KWH;04.08.2016 14:30;05.08.2016 05:30;220;0.000;KAH
04.08.2016 14:45;05.08.2016 05:45;220;7.135;KWH;04.08.2016 14:45;05.08.2016 05:45;220;4.238;KAH;04.08.2016 14:45;05.08.2016 05:45;220;8.030;KWH;04.08.2016 14:45;05.08.2016 05:45;220;0.000;KAH
04.08.2016 15:00;05.08.2016 06:00;220;7.811;KWH;04.08.2016 15:00;05.08.2016 06:00;220;4.325;KAH;04.08.2016 15:00;05.08.2016 06:00;220;8.041;KWH;04.08.2016 15:00;05.08.2016 06:00;220;0.000;KAH
04.08.2016 15:15;05.08.2016 06:15;220;6.992;KWH;04.08.2016 15:15;05.08.2016 06:15;220;3.750;KAH;04.08.2016 15:15;05.08.2016 06:15;220;8.041;KWH;04.08.2016 15:15;05.08.2016 06:15;220;0.000;KAH
04.08.2016 15:30;05.08.2016 06:30;220;7.226;KWH;04.08.2016 15:30;05.08.2016 06:30;220;3.025;KAH;04.08.2016 15:30;05.08.2016 06:30;220;8.145;KWH;04.08.2016 15:30;05.08.2016 06:30;220;0.000;KAH
04.08.2016 15:45;05.08.2016 06:45;220;5.094;KWH;04.08.2016 15:45;05.08.2016 06:45;220;2.438;KAH;04.08.2016 15:45;05.08.2016 06:45;220;8.217;KWH;04.08.2016 15:45;05.08.2016 06:45;220;0.000;KAH
04.08.2016 16:00;05.08.2016 07:00;220;6.459;KWH;04.08.2016 16:00;05.08.2016 07:00;220;4.075;KAH;04.08.2016 16:00;05.08.2016 07:00;220;8.207;KWH;04.08.2016 16:00;05.08.2016 07:00;220;0.000;KAH
04.08.2016 16:15;05.08.2016 07:15;220;5.991;KWH;04.08.2016 16:15;05.08.2016 07:15;220;3.638;KAH;04.08.2016 16:15;05.08.2016 07:15;220;8.228;KWH;04.08.2016 16:15;05.08.2016 07:15;220;0.000;KAH
04.08.2016 16:30;05.08.2016 07:30;220;7.759;KWH;04.08.2016 16:30;05.08.2016 07:30;220;3.438;KAH;04.08.2016 16:30;05.08.2016 07:30;220;8.238;KWH;04.08.2016 16:30;05.08.2016 07:30;220;0.000;KAH
04.08.2016 16:45;05.08.2016 07:45;220;8.019;KWH;04.08.2016 16:45;05.08.2016 07:45;220;3.888;KAH;04.08.2016 16:45;05.08.2016 07:45;220;8.259;KWH;04.08.2016 16:45;05.08.2016 07:45;220;0.000;KAH
04.08.2016 17:00;05.08.2016 08:00;220;9.501;KWH;04.08.2016 17:00;05.08.2016 08:00;220;3.713;KAH;04.08.2016 17:00;05.08.2016 08:00;220;8.238;KWH;04.08.2016 17:00;05.08.2016 08:00;220;0.000;KAH
04.08.2016 17:15;05.08.2016 08:15;220;10.216;KWH;04.08.2016 17:15;05.08.2016 08:15;220;3.725;KAH;04.08.2016 17:15;05.08.2016 08:15;220;8.176;KWH;04.08.2016 17:15;05.08.2016 08:15;220;0.000;KAH
04.08.2016 17:30;05.08.2016 08:30;220;10.242;KWH;04.08.2016 17:30;05.08.2016 08:30;220;3.725;KAH;04.08.2016 17:30;05.08.2016 08:30;220;8.207;KWH;04.08.2016 17:30;05.08.2016 08:30;220;0.000;KAH
04.08.2016 17:45;05.08.2016 08:45;220;10.138;KWH;04.08.2016 17:45;05.08.2016 08:45;220;4.075;KAH;04.08.2016 17:45;05.08.2016 08:45;220;8.217;KWH;04.08.2016 17:45;05.08.2016 08:45;220;0.000;KAH
04.08.2016 18:00;05.08.2016 09:00;220;8.825;KWH;04.08.2016 18:00;05.08.2016 09:00;220;3.850;KAH;04.08.2016 18:00;05.08.2016 09:00;220;8.207;KWH;04.08.2016 18:00;05.08.2016 09:00;220;0.000;KAH
04.08.2016 18:15;05.08.2016 09:15;220;10.034;KWH;04.08.2016 18:15;05.08.2016 09:15;220;4.400;KAH;04.08.2016 18:15;05.08.2016 09:15;220;8.238;KWH;04.08.2016 18:15;05.08.2016 09:15;220;0.000;KAH
04.08.2016 18:30;05.08.2016 09:30;220;9.722;KWH;04.08.2016 18:30;05.08.2016 09:30;220;3.800;KAH;04.08.2016 18:30;05.08.2016 09:30;220;8.197;KWH;04.08.2016 18:30;05.08.2016 09:30;220;0.000;KAH
04.08.2016 18:45;05.08.2016 09:45;220;10.099;KWH;04.08.2016 18:45;05.08.2016 09:45;220;4.038;KAH;04.08.2016 18:45;05.08.2016 09:45;220;8.176;KWH;04.08.2016 18:45;05.08.2016 09:45;220;0.000;KAH
04.08.2016 19:00;05.08.2016 10:00;220;10.684;KWH;04.08.2016 19:00;05.08.2016 10:00;220;4.200;KAH;04.08.2016 19:00;05.08.2016 10:00;220;6.553;KWH;04.08.2016 19:00;05.08.2016 10:00;220;0.000;KAH
04.08.2016 19:15;05.08.2016 10:15;220;9.917;KWH;04.08.2016 19:15;05.08.2016 10:15;220;3.975;KAH;04.08.2016 19:15;05.08.2016 10:15;220;0.875;KWH;04.08.2016 19:15;05.08.2016 10:15;220;0.000;KAH
04.08.2016 19:30;05.08.2016 10:30;220;11.178;KWH;04.08.2016 19:30;05.08.2016 10:30;220;4.538;KAH;04.08.2016 19:30;05.08.2016 10:30;220;0.532;KWH;04.08.2016 19:30;05.08.2016 10:30;220;0.000;KAH
04.08.2016 19:45;05.08.2016 10:45;220;10.671;KWH;04.08.2016 19:45;05.08.2016 10:45;220;4.113;KAH;04.08.2016 19:45;05.08.2016 10:45;220;0.521;KWH;04.08.2016 19:45;05.08.2016 10:45;220;0.000;KAH
04.08.2016 20:00;05.08.2016 11:00;220;12.075;KWH;04.08.2016 20:00;05.08.2016 11:00;220;4.700;KAH;04.08.2016 20:00;05.08.2016 11:00;220;0.532;KWH;04.08.2016 20:00;05.08.2016 11:00;220;0.000;KAH
04.08.2016 20:15;05.08.2016 11:15;220;11.477;KWH;04.08.2016 20:15;05.08.2016 11:15;220;4.313;KAH;04.08.2016 20:15;05.08.2016 11:15;220;0.532;KWH;04.08.2016 20:15;05.08.2016 11:15;220;0.000;KAH
04.08.2016 20:30;05.08.2016 11:30;220;11.633;KWH;04.08.2016 20:30;05.08.2016 11:30;220;4.563;KAH;04.08.2016 20:30;05.08.2016 11:30;220;0.532;KWH;04.08.2016 20:30;05.08.2016 11:30;220;0.000;KAH
04.08.2016 20:45;05.08.2016 11:45;220;10.918;KWH;04.08.2016 20:45;05.08.2016 11:45;220;4.588;KAH;04.08.2016 20:45;05.08.2016 11:45;220;0.532;KWH;04.08.2016 20:45;05.08.2016 11:45;220;0.000;KAH
04.08.2016 21:00;05.08.2016 12:00;220;10.749;KWH;04.08.2016 21:00;05.08.2016 12:00;220;4.213;KAH;04.08.2016 21:00;05.08.2016 12:00;220;0.532;KWH;04.08.2016 21:00;05.08.2016 12:00;220;0.000;KAH
04.08.2016 21:15;05.08.2016 12:15;220;10.840;KWH;04.08.2016 21:15;05.08.2016 12:15;220;4.825;KAH;04.08.2016 21:15;05.08.2016 12:15;220;0.521;KWH;04.08.2016 21:15;05.08.2016 12:15;220;0.000;KAH
04.08.2016 21:30;05.08.2016 12:30;220;10.073;KWH;04.08.2016 21:30;05.08.2016 12:30;220;3.963;KAH;04.08.2016 21:30;05.08.2016 12:30;220;0.521;KWH;04.08.2016 21:30;05.08.2016 12:30;220;0.000;KAH
04.08.2016 21:45;05.08.2016 12:45;220;10.021;KWH;04.08.2016 21:45;05.08.2016 12:45;220;4.013;KAH;04.08.2016 21:45;05.08.2016 12:45;220;0.521;KWH;04.08.2016 21:45;05.08.2016 12:45;220;0.000;KAH
04.08.2016 22:00;05.08.2016 13:00;220;10.255;KWH;04.08.2016 22:00;05.08.2016 13:00;220;4.388;KAH;04.08.2016 22:00;05.08.2016 13:00;220;0.511;KWH;04.08.2016 22:00;05.08.2016 13:00;220;0.000;KAH
04.08.2016 22:15;05.08.2016 13:15;220;8.409;KWH;04.08.2016 22:15;05.08.2016 13:15;220;3.913;KAH;04.08.2016 22:15;05.08.2016 13:15;220;0.521;KWH;04.08.2016 22:15;05.08.2016 13:15;220;0.000;KAH
04.08.2016 22:30;05.08.2016 13:30;220;7.642;KWH;04.08.2016 22:30;05.08.2016 13:30;220;3.088;KAH;04.08.2016 22:30;05.08.2016 13:30;220;0.521;KWH;04.08.2016 22:30;05.08.2016 13:30;220;0.000;KAH
04.08.2016 22:45;05.08.2016 13:45;220;5.003;KWH;04.08.2016 22:45;05.08.2016 13:45;220;2.375;KAH;04.08.2016 22:45;05.08.2016 13:45;220;0.521;KWH;04.08.2016 22:45;05.08.2016 13:45;220;0.000;KAH
04.08.2016 23:00;05.08.2016 14:00;220;4.886;KWH;04.08.2016 23:00;05.08.2016 14:00;220;2.888;KAH;04.08.2016 23:00;05.08.2016 14:00;220;0.511;KWH;04.08.2016 23:00;05.08.2016 14:00;220;0.000;KAH
04.08.2016 23:15;05.08.2016 14:15;220;4.080;KWH;04.08.2016 23:15;05.08.2016 14:15;220;2.438;KAH;04.08.2016 23:15;05.08.2016 14:15;220;0.521;KWH;04.08.2016 23:15;05.08.2016 14:15;220;0.000;KAH
04.08.2016 23:30;05.08.2016 14:30;220;4.054;KWH;04.08.2016 23:30;05.08.2016 14:30;220;2.450;KAH;04.08.2016 23:30;05.08.2016 14:30;220;0.521;KWH;04.08.2016 23:30;05.08.2016 14:30;220;0.000;KAH
05.08.2016 00:00;05.08.2016 15:00;220;3.495;KWH;05.08.2016 00:00;05.08.2016 15:00;220;1.875;KAH;05.08.2016 00:00;05.08.2016 15:00;220;0.511;KWH;05.08.2016 00:00;05.08.2016 15:00;220;0.000;KAH
05.08.2016 00:15;05.08.2016 15:15;220;3.651;KWH;05.08.2016 00:15;05.08.2016 15:15;220;2.050;KAH;05.08.2016 00:15;05.08.2016 15:15;220;0.521;KWH;05.08.2016 00:15;05.08.2016 15:15;220;0.000;KAH
05.08.2016 00:30;05.08.2016 15:30;220;3.521;KWH;05.08.2016 00:30;05.08.2016 15:30;220;1.900;KAH;05.08.2016 00:30;05.08.2016 15:30;220;0.521;KWH;05.08.2016 00:30;05.08.2016 15:30;220;0.000;KAH
05.08.2016 00:45;05.08.2016 15:45;220;3.521;KWH;05.08.2016 00:45;05.08.2016 15:45;220;1.913;KAH;05.08.2016 00:45;05.08.2016 15:45;220;0.521;KWH;05.08.2016 00:45;05.08.2016 15:45;220;0.000;KAH
05.08.2016 01:00;05.08.2016 16:00;220;3.482;KWH;05.08.2016 01:00;05.08.2016 16:00;220;1.938;KAH;05.08.2016 01:00;05.08.2016 16:00;220;0.511;KWH;05.08.2016 01:00;05.08.2016 16:00;220;0.000;KAH
