LU0000090123456708002MT0000000000;1.9.1;;;;LU0000090123456708002MT0000000000;3.29.0;;;;LU0000090752630500119MT0000000000;1.9.1;;;;LU0000090752630500119MT0000000000;3.29.0;;;
begin;end;code;value;unit;begin;end;code;value;unit;begin;end;code;value;unit;begin;end;code;value;unit
01.08.2016 05:45;01.08.2016 20:45;220;3.638;KWH;01.08.2016 05:45;01.08.2016 20:45;220;2.088;KAH;01.08.2016 05:45;01.08.2016 20:45;220;0.480;KWH;01.08.2016 05:45;01.08.2016 20:45;220;0.000;KAH
01.08.2016 06:00;01.08.2016 21:00;220;3.547;KWH;01.08.2016 06:00;01.08.2016 21:00;220;2.050;KAH;01.08.2016 06:00;01.08.2016 21:00;220;0.469;KWH;01.08.2016 06:00;01.08.2016 21:00;220;0.000;KAH
01.08.2016 06:15;01.08.2016 21:15;220;3.573;KWH;01.08.2016 06:15;01.08.2016 21:15;220;1.988;KAH;01.08.2016 06:15;01.08.2016 21:15;220;0.480;KWH;01.08.2016 06:15;01.08.2016 21:15;220;0.000;KAH
01.08.2016 06:30;01.08.2016 21:30;220;3.638;KWH;01.08.2016 06:30;01.08.2016 21:30;220;2.050;KAH;01.08.2016 06:30;01.08.2016 21:30;220;0.480;KWH;01.08.2016 06:30;01.08.2016 21:30;220;0.000;KAH
01.08.2016 06:45;01.08.2016 21:45;220;3.664;KWH;01.08.2016 06:45;01.08.2016 21:45;220;2.038;KAH;01.08.2016 06:45;01.08.2016 21:45;220;0.469;KWH;01.08.2016 06:45;01.08.2016 21:45;220;0.000;KAH
01.08.2016 07:00;01.08.2016 22:00;220;3.664;KWH;01.08.2016 07:00;01.08.2016 22:00;220;2.100;KAH;01.08.2016 07:00;01.08.2016 22:00;220;0.469;KWH;01.08.2016 07:00;01.08.2016 22:00;220;0.000;KAH
01.08.2016 07:15;01.08.2016 22:15;220;4.704;KWH;01.08.2016 07:15;01.08.2016 22:15;220;2.663;KAH;01.08.2016 07:15;01.08.2016 22:15;220;0.480;KWH;01.08.2016 07:15;01.08.2016 22:15;220;0.000;KAH
01.08.2016 07:30;01.08.2016 22:30;220;4.639;KWH;01.08.2016 07:30;01.08.2016 22:30;220;3.425;KAH;01.08.2016 07:30;01.08.2016 22:30;220;0.469;KWH;01.08.2016 07:30;01.08.2016 22:30;220;0.000;KAH
01.08.2016 07:45;01.08.2016 22:45;220;4.340;KWH;01.08.2016 07:45;01.08.2016 22:45;220;3.275;KAH;01.08.2016 07:45;01.08.2016 22:45;220;0.480;KWH;01.08.2016 07:45;01.08.2016 22:45;220;0.000;KAH
01.08.2016 08:00;01.08.2016 23:00;220;4.353;KWH;01.08.2016 08:00;01.08.2016 23:00;220;3.275;KAH;01.08.2016 08:00;01.08.2016 23:00;220;3.444;KWH;01.08.2016 08:00;01.08.2016 23:00;220;0.000;KAH
01.08.2016 08:15;01.08.2016 23:15;220;6.082;KWH;01.08.2016 08:15;01.08.2016 23:15;220;3.375;KAH;01.08.2016 08:15;01.08.2016 23:15;220;8.217;KWH;01.08.2016 08:15;01.08.2016 23:15;220;0.000;KAH
01.08.2016 08:30;01.08.2016 23:30;220;8.071;KWH;01.08.2016 08:30;01.08.2016 23:30;220;3.288;KAH;01.08.2016 08:30;01.08.2016 23:30;220;8.186;KWH;01.08.2016 08:30;01.08.2016 23:30;220;0.000;KAH
01.08.2016 08:45;01.08.2016 23:45;220;8.981;KWH;01.08.2016 08:45;01.08.2016 23:45;220;3.288;KAH;01.08.2016 08:45;01.08.2016 23:45;220;8.228;KWH;01.08.2016 08:45;01.08.2016 23:45;220;0.000;KAH
01.08.2016 09:00;02.08.2016 00:00;220;8.656;KWH;01.08.2016 09:00;02.08.2016 00:00;220;3.313;KAH;01.08.2016 09:00;02.08.2016 00:00;220;8.228;KWH;01.08.2016 09:00;02.08.2016 00:00;220;0.000;KAH
01.08.2016 09:15;02.08.2016 00:15;220;7.655;KWH;01.08.2016 09:15;02.08.2016 00:15;220;3.175;KAH;01.08.2016 09:15;02.08.2016 00:15;220;8.103;KWH;01.08.2016 09:15;02.08.2016 00:15;220;0.000;KAH
01.08.2016 09:30;02.08.2016 00:30;220;7.902;KWH;01.08.2016 09:30;02.08.2016 00:30;220;3.225;KAH;01.08.2016 09:30;02.08.2016 00:30;220;8.093;KWH;01.08.2016 09:30;02.08.2016 00:30;220;0.000;KAH
01.08.2016 09:45;02.08.2016 00:45;220;7.668;KWH;01.08.2016 09:45;02.08.2016 00:45;220;3.225;KAH;01.08.2016 09:45;02.08.2016 00:45;220;8.134;KWH;01.08.2016 09:45;02.08.2016 00:45;220;0.000;KAH
01.08.2016 10:00;02.08.2016 01:00;220;9.345;KWH;01.08.2016 10:00;02.08.2016 01:00;220;3.763;KAH;01.08.2016 10:00;02.08.2016 01:00;220;8.124;KWH;01.08.2016 10:00;02.08.2016 01:00;220;0.000;KAH
01.08.2016 10:15;02.08.2016 01:15;220;9.488;KWH;01.08.2016 10:15;02.08.2016 01:15;220;3.600;KAH;01.08.2016 10:15;02.08.2016 01:15;220;8.113;KWH;01.08.2016 10:15;02.08.2016 01:15;220;0.000;KAH
01.08.2016 10:30;02.08.2016 01:30;220;10.879;KWH;01.08.2016 10:30;02.08.2016 01:30;220;4.200;KAH;01.08.2016 10:30;02.08.2016 01:30;220;8.113;KWH;01.08.2016 10:30;02.08.2016 01:30;220;0.000;KAH
01.08.2016 10:45;02.08.2016 01:45;220;8.773;KWH;01.08.2016 10:45;02.08.2016 01:45;220;3.638;KAH;01.08.2016 10:45;02.08.2016 01:45;220;8.113;KWH;01.08.2016 10:45;02.08.2016 01:45;220;0.000;KAH
01.08.2016 11:00;02.08.2016 02:00;220;9.917;KWH;01.08.2016 11:00;02.08.2016 02:00;220;4.488;KAH;01.08.2016 11:00;02.08.2016 02:00;220;8.103;KWH;01.08.2016 11:00;02.08.2016 02:00;220;0.000;KAH
01.08.2016 11:15;02.08.2016 02:15;220;9.449;KWH;01.08.2016 11:15;02.08.2016 02:15;220;3.813;KAH;01.08.2016 11:15;02.08.2016 02:15;220;8.093;KWH;01.08.2016 11:15;02.08.2016 02:15;220;0.000;KAH
01.08.2016 11:30;02.08.2016 02:30;220;11.295;KWH;01.08.2016 11:30;02.08.2016 02:30;220;4.238;KAH;01.08.2016 11:30;02.08.2016 02:30;220;8.072;KWH;01.08.2016 11:30;02.08.2016 02:30;220;0.000;KAH
01.08.2016 11:45;02.08.2016 02:45;220;11.373;KWH;01.08.2016 11:45;02.08.2016 02:45;220;4.225;KAH;01.08.2016 11:45;02.08.2016 02:45;220;8.082;KWH;01.08.2016 11:45;02.08.2016 02:45;220;0.000;KAH
01.08.2016 12:00;02.08.2016 03:00;220;11.373;KWH;01.08.2016 12:00;02.08.2016 03:00;220;4.700;KAH;01.08.2016 12:00;02.08.2016 03:00;220;8.093;KWH;01.08.2016 12:00;02.08.2016 03:00;220;0.000;KAH
01.08.2016 12:15;02.08.2016 03:15;220;10.411;KWH;01.08.2016 12:15;02.08.2016 03:15;220;4.338;KAH;01.08.2016 12:15;02.08.2016 03:15;220;8.103;KWH;01.08.2016 12:15;02.08.2016 03:15;220;0.000;KAH
01.08.2016 12:30;02.08.2016 03:30;220;12.166;KWH;01.08.2016 12:30;02.08.2016 03:30;220;4.738;KAH;01.08.2016 12:30;02.08.2016 03:30;220;8.113;KWH;01.08.2016 12:30;02.08.2016 03:30;220;0.000;KAH
01.08.2016 12:45;02.08.2016 03:45;220;11.451;KWH;01.08.2016 12:45;02.08.2016 03:45;220;4.363;KAH;01.08.2016 12:45;02.08.2016 03:45;220;8.093;KWH;01.08.2016 12:45;02.08.2016 03:45;220;0.000;KAH
01.08.2016 13:00;02.08.2016 04:00;220;12.673;KWH;01.08.2016 13:00;02.08.2016 04:00;220;4.800;KAH;01.08.2016 13:00;02.08.2016 04:00;220;8.082;KWH;01.08.2016 13:00;02.08.2016 04:00;220;0.000;KAH
01.08.2016 13:15;02.08.2016 04:15;220;11.152;KWH;01.08.2016 13:15;02.08.2016 04:15;220;4.350;KAH;01.08.2016 13:15;02.08.2016 04:15;220;8.103;KWH;01.08.2016 13:15;02.08.2016 04:15;220;0.000;KAH
01.08.2016 13:30;02.08.2016 04:30;220;11.256;KWH;01.08.2016 13:30;02.08.2016 04:30;220;4.588;KAH;01.08.2016 13:30;02.08.2016 04:30;220;8.093;KWH;01.08.2016 13:30;02.08.2016 04:30;220;0.000;KAH
01.08.2016 13:45;02.08.2016 04:45;220;10.580;KWH;01.08.2016 13:45;02.08.2016 04:45;220;4.250;KAH;01.08.2016 13:45;02.08.2016 04:45;220;8.093;KWH;01.08.2016 13:45;02.08.2016 04:45;220;0.000;KAH
01.08.2016 14:00;02.08.2016 05:00;220;11.035;KWH;01.08.2016 14:00;02.08.2016 05:00;220;4.700;KAH;01.08.2016 14:00;02.08.2016 05:00;220;8.103;KWH;01.08.2016 14:00;02.08.2016 05:00;220;0.000;KAH
01.08.2016 14:15;02.08.2016 05:15;220;10.034;KWH;01.08.2016 14:15;02.08.2016 05:15;220;4.338;KAH;01.08.2016 14:15;02.08.2016 05:15;220;8.072;KWH;01.08.2016 14:15;02.08.2016 05:15;220;0.000;KAH
01.08.2016 14:30;02.08.2016 05:30;220;9.215;KWH;01.08.2016 14:30;02.08.2016 05:30;220;4.638;KAH;01.08.2016 14:30;02.08.2016 05:30;220;8.103;KWH;01.08.2016 14:30;02.08.2016 05:30;220;0.000;KAH
01.08.2016 14:45;02.08.2016 05:45;220;6.888;KWH;01.08.2016 14:45;02.08.2016 05:45;220;4.613;KAH;01.08.2016 14:45;02.08.2016 05:45;220;8.082;KWH;01.08.2016 14:45;02.08.2016 05:45;220;0.000;KAH
01.08.2016 15:00;02.08.2016 06:00;220;7.850;KWH;01.08.2016 15:00;02.08.2016 06:00;220;4.463;KAH;01.08.2016 15:00;02.08.2016 06:00;220;8.082;KWH;01.08.2016 15:00;02.08.2016 06:00;220;0.000;KAH
01.08.2016 15:15;02.08.2016 06:15;220;7.889;KWH;01.08.2016 15:15;02.08.2016 06:15;220;4.388;KAH;01.08.2016 15:15;02.08.2016 06:15;220;8.072;KWH;01.08.2016 15:15;02.08.2016 06:15;220;0.000;KAH
01.08.2016 15:30;02.08.2016 06:30;220;6.225;KWH;01.08.2016 15:30;02.08.2016 06:30;220;2.638;KAH;01.08.2016 15:30;02.08.2016 06:30;220;8.061;KWH;01.08.2016 15:30;02.08.2016 06:30;220;0.000;KAH
01.08.2016 15:45;02.08.2016 06:45;220;6.394;KWH;01.08.2016 15:45;02.08.2016 06:45;220;3.250;KAH;01.08.2016 15:45;02.08.2016 06:45;220;8.082;KWH;01.08.2016 15:45;02.08.2016 06:45;220;0.000;KAH
01.08.2016 16:00;02.08.2016 07:00;220;5.562;KWH;01.08.2016 16:00;02.08.2016 07:00;220;2.963;KAH;01.08.2016 16:00;02.08.2016 07:00;220;8.113;KWH;01.08.2016 16:00;02.08.2016 07:00;220;0.000;KAH
01.08.2016 16:15;02.08.2016 07:15;220;8.812;KWH;01.08.2016 16:15;02.08.2016 07:15;220;4.850;KAH;01.08.2016 16:15;02.08.2016 07:15;220;8.082;KWH;01.08.2016 16:15;02.08.2016 07:15;220;0.000;KAH
01.08.2016 16:30;02.08.2016 07:30;220;8.539;KWH;01.08.2016 16:30;02.08.2016 07:30;220;4.263;KAH;01.08.2016 16:30;02.08.2016 07:30;220;8.061;KWH;01.08.2016 16:30;02.08.2016 07:30;220;0.000;KAH
01.08.2016 16:45;02.08.2016 07:45;220;8.552;KWH;01.08.2016 16:45;02.08.2016 07:45;220;5.025;KAH;01.08.2016 16:45;02.08.2016 07:45;220;8.061;KWH;01.08.2016 16:45;02.08.2016 07:45;220;0.000;KAH
01.08.2016 17:00;02.08.2016 08:00;220;9.332;KWH;01.08.2016 17:00;02.08.2016 08:00;220;4.450;KAH;01.08.2016 17:00;02.08.2016 08:00;220;8.051;KWH;01.08.2016 17:00;02.08.2016 08:00;220;0.000;KAH
01.08.2016 17:15;02.08.2016 08:15;220;11.334;KWH;01.08.2016 17:15;02.08.2016 08:15;220;4.688;KAH;01.08.2016 17:15;02.08.2016 08:15;220;8.061;KWH;01.08.2016 17:15;02.08.2016 08:15;220;0.000;KAH
01.08.2016 17:30;02.08.2016 08:30;220;9.527;KWH;01.08.2016 17:30;02.08.2016 08:30;220;4.575;KAH;01.08.2016 17:30;02.08.2016 08:30;220;8.041;KWH;01.08.2016 17:30;02.08.2016 08:30;220;0.000;KAH
01.08.2016 17:45;02.08.2016 08:45;220;9.670;KWH;01.08.2016 17:45;02.08.2016 08:45;220;4.775;KAH;01.08.2016 17:45;02.08.2016 08:45;220;8.041;KWH;01.08.2016 17:45;02.08.2016 08:45;220;0.000;KAH
01.08.2016 18:00;02.08.2016 09:00;220;9.995;KWH;01.08.2016 18:00;02.08.2016 09:00;220;4.413;KAH;01.08.2016 18:00;02.08.2016 09:00;220;8.082;KWH;01.08.2016 18:00;02.08.2016 09:00;220;0.000;KAH
01.08.2016 18:15;02.08.2016 09:15;220;8.708;KWH;01.08.2016 18:15;02.08.2016 09:15;220;4.038;KAH;01.08.2016 18:15;02.08.2016 09:15;220;8.072;KWH;01.08.2016 18:15;02.08.2016 09:15;220;0.000;KAH
01.08.2016 18:30;02.08.2016 09:30;220;9.969;KWH;01.08.2016 18:30;02.08.2016 09:30;220;4.238;KAH;01.08.2016 18:30;02.08.2016 09:30;220;8.051;KWH;01.08.2016 18:30;02.08.2016 09:30;220;0.000;KAH
01.08.2016 18:45;02.08.2016 09:45;220;9.579;KWH;01.08.2016 18:45;02.08.2016 09:45;220;3.988;KAH;01.08.2016 18:45;02.08.2016 09:45;220;8.030;KWH;01.08.2016 18:45;02.08.2016 09:45;220;0.000;KAH
